NM_DOCENTE,GENERO
Bernardo Alfredo Mayta Sakamoto,Homem
Wilson Antonio Frezzatti Júnior,Homem
Eliane Christina De Souza,Mulher
Jadir Antunes,Homem
Arlei De Espíndola,Homem
Cezar Augusto Mortari,Homem
Décio Krause,Homem
Maria De Lourdes Alves Borges,Mulher
Delamar Jose Volpato Dutra,Homem
Darlei Dall Agnol,Homem
José Ricardo Pierpauli,Homem
Cláudia Pellegrini Drucker,Mulher
Arlene Reis,Mulher
Celso Reni Braida,Homem
João Eduardo Pinto Basto Lupi,Homem
Luiz Alberto Hebeche,Homem
Marcos Jose Muller Granzotto,Homem
Luis Felipe Bellintani Ribeiro,Homem
Selvino José Assmann,Homem
Alessandro Pinzani,Homem
Leo Afonso Staudt,Homem
Júlio César Burdzinski,Homem
Antonio Edmilson Paschoal,Homem
Bortolo Valle,Homem
Cesar Augusto Ramos,Homem
Daniel Omar Perez,Homem
Francisco Verardi Bocca,Homem
Ines Lacerda Araujo,Mulher
Jair Lopes Barboza,Homem
Jamil Ibrahim Iskandar,Homem
César Candiotto,Homem
Cleverson Leite Bastos,Homem
Rogério Miranda De Almeida,Homem
Juan Bautista Ritvo,Homem
Horacio Luján Martínez,Homem
Eladio Constantino Pablo Craia,Homem
José Luiz Ames,Homem
Alberto Oscar Cupani,Homem
Luiz Henrique De Araújo Dutra,Homem
Marco Antonio Franciotti,Homem
Gustavo Andres Caponi,Homem
Sônia Teresinha Felipe,Mulher
Guy Hamelin,Homem
Samuel José Simon Rodrigues,Homem
Scott Randall Paine,Homem
Julio Ramon Cabrera Alvarez,Homem
Nelson Gonçalves Gomes,Homem
Paulo Cesar Coelho Abrantes,Homem
Alex Sandro Calheiros De Moura,Homem
Gabriele Cornelli,Mulher
Estevão Chaves De Rezende Martins,Homem
Gerson Brea,Homem
Agnaldo Cuoco Portugal,Homem
Hilan Nissior Bensusan,Homem
Miroslav Milovic,Homem
Claúdio Araújo Reis,Homem
Anderson Gonçalves Da Silva,Homem
José Oscar Rodriguez De Dios,Homem
Andre Luis Muniz Garcia,Homem
Alexandre Hahn,Homem
Pedro Ergnaldo Gontijo,Homem
Evaldo Sampaio Da Silva,Homem
Loraine De Fátima Oliveira,Mulher
Marcio Gimenes De Paula,Homem
Erick Calheiros De Lima,Homem
Clara Britto Da Rocha Acker,Mulher
Priscila Rossinetti Rufinoni,Mulher
Hans Christian Klotz,Homem
Adriana Delbó Lopes,Mulher
Wagner De Campos Sanz,Homem
Renato Moscateli,Homem
José Ternes,Homem
Anderson De Paula Borges,Homem
Carla Milani Damião,Mulher
Marcia Zebina Araujo Da Silva,Mulher
Adriano Correia Silva,Homem
Martina Korelc,Mulher
Araceli Rosich Soares Velloso,Mulher
Helena Esser Dos Reis,Mulher
André Da Silva Porto,Homem
José Gonzalo Armijos Palacios,Homem
José Nicolau Heck,Homem
Jaqueline Stefani,Mulher
