NM_DOCENTE,GENERO
BERNARDO ALFREDO MAYTA SAKAMOTO,Male
WILSON ANTONIO FREZZATTI JÚNIOR,Male
ELIANE CHRISTINA DE SOUZA,Female
JADIR ANTUNES,Male
ARLEI DE ESPÍNDOLA,Male
CEZAR AUGUSTO MORTARI,Male
DÉCIO KRAUSE,NA
MARIA DE LOURDES ALVES BORGES,Female
DELAMAR JOSE VOLPATO DUTRA,Male
DARLEI DALL AGNOL,Male
JOSÉ RICARDO PIERPAULI,NA
CLÁUDIA PELLEGRINI DRUCKER,NA
ARLENE REIS,Female
CELSO RENI BRAIDA,Male
JOÃO EDUARDO PINTO BASTO LUPI,NA
LUIZ ALBERTO HEBECHE,Male
MARCOS JOSE MULLER GRANZOTTO,Male
LUIS FELIPE BELLINTANI RIBEIRO,Male
SELVINO JOSÉ ASSMANN,Male
ALESSANDRO PINZANI,Male
LEO AFONSO STAUDT,Male
JÚLIO CÉSAR BURDZINSKI,NA
ANTONIO EDMILSON PASCHOAL,Male
BORTOLO VALLE,Male
CESAR AUGUSTO RAMOS,Male
DANIEL OMAR PEREZ,Male
FRANCISCO VERARDI BOCCA,Male
INES LACERDA ARAUJO,Female
JAIR LOPES BARBOZA,Male
JAMIL IBRAHIM ISKANDAR,Male
CÉSAR CANDIOTTO,NA
CLEVERSON LEITE BASTOS,Male
ROGÉRIO MIRANDA DE ALMEIDA,NA
JUAN BAUTISTA RITVO,Male
HORACIO LUJÁN MARTÍNEZ,Male
ELADIO CONSTANTINO PABLO CRAIA,Male
JOSÉ LUIZ AMES,NA
ALBERTO OSCAR CUPANI,Male
LUIZ HENRIQUE DE ARAÚJO DUTRA,Male
MARCO ANTONIO FRANCIOTTI,Male
GUSTAVO ANDRES CAPONI,Male
SÔNIA TERESINHA FELIPE,NA
GUY HAMELIN,Male
SAMUEL JOSÉ SIMON RODRIGUES,Male
SCOTT RANDALL PAINE,Male
JULIO RAMON CABRERA ALVAREZ,Male
NELSON GONÇALVES GOMES,Male
PAULO CESAR COELHO ABRANTES,Male
ALEX SANDRO CALHEIROS DE MOURA,Male
GABRIELE CORNELLI,Female
ESTEVÃO CHAVES DE REZENDE MARTINS,NA
GERSON BREA,Male
AGNALDO CUOCO PORTUGAL,Male
HILAN NISSIOR BENSUSAN,Male
MIROSLAV MILOVIC,Male
CLAÚDIO ARAÚJO REIS,NA
ANDERSON GONÇALVES DA SILVA,Male
JOSÉ OSCAR RODRIGUEZ DE DIOS,NA
ANDRE LUIS MUNIZ GARCIA,Male
ALEXANDRE HAHN,Male
PEDRO ERGNALDO GONTIJO,Male
EVALDO SAMPAIO DA SILVA,Male
LORAINE DE FÁTIMA OLIVEIRA,Female
MARCIO GIMENES DE PAULA,Male
ERICK CALHEIROS DE LIMA,Male
CLARA BRITTO DA ROCHA ACKER,Female
PRISCILA ROSSINETTI RUFINONI,Female
HANS CHRISTIAN KLOTZ,Male
ADRIANA DELBÓ LOPES,Female
WAGNER DE CAMPOS SANZ,Male
RENATO MOSCATELI,Male
JOSÉ TERNES,NA
ANDERSON DE PAULA BORGES,Male
CARLA MILANI DAMIÃO,Female
MARCIA ZEBINA ARAUJO DA SILVA,Female
ADRIANO CORREIA SILVA,Male
MARTINA KORELC,Female
ARACELI ROSICH SOARES VELLOSO,Female
HELENA ESSER DOS REIS,Female
ANDRÉ DA SILVA PORTO,NA
JOSÉ GONZALO ARMIJOS PALACIOS,NA
JOSÉ NICOLAU HECK,NA
JAQUELINE STEFANI,Female
JOÃO CARLOS BRUM TORRES,NA
NYTHAMAR HILÁRIO FERNANDES DE OLIVEIRA JÚNIOR,NA
ANDRÉ BRAYNER DE FARIAS,NA
ANDRÉ ANTÔNIO RIBEIRO,NA
PAULO CÉSAR NODARI,Male
EVERALDO CESCON,Male
EVALDO ANTÔNIO KUIAVA,Male
ITAMAR SOARES VEIGA,Male
IDALGO JOSÉ SANGALLI,Male
ANNA CAROLINA KREBS PEREIRA REGNER,Female
ALVARO LUIZ MONTENEGRO VALLS,Male
ROBERTO HOFMEISTER PICH,Male
NYTHAMAR HILARIO FERNANDES DE OLIVEIRA JUNIOR,NA
NORMAN ROLAND MADARASZ,NA
FELIPE DE MATOS MÜLLER,Male
AGEMIR BAVARESCO,Male
LUIZ ROHDEN,Male
MARIO FLEIG,Male
MARCELO FERNANDES DE AQUINO,Male
